REF ID,Website Name,Website URL,State,External Resouce type,Level,Category of External Resource,Authors,Attribution,,MeSH tags,Notes,,,,,,,,,,
CD006895,Cochrane Systematic Review: Probiotics for preventing acute upper respiratory tract infections,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006895,Pending,Systematic_review,level 4,individual page on a site,"Hao Q, Lu Z, Dong BR, Huang CQ, Wu T.",Cochrane,,"Respiratory Tract Infections,Acute Disease,",ARI,acute upper respiratory tract infection,acute disease,respiratory tract infection,,,,,,,
CD007498,Cochrane Systematic Review: Procalcitonin to initiate or discontinue antibiotics in acute respiratory tract infections,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD007498,Pending,Systematic_review,level 4,individual page on a site,"Schuetz P, M_ller B, Christ-Crain M, Stolz D, Tamm M, Bouadma L, Luyt CE, Wolff M, Chastre J, Tubach F, Kristoffersen KB, Burkhardt O, Welte T, Schroeder S, Nobre V, Wei L, Bhatnagar N, Bucher HC, Briel M.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Bacterial Infections,",ARI,acute respiratory tract infection,acute disease,bacterial infection,respiratory tract infection,,,,,,
CD006452,Cochrane Systematic Review: Rapid viral diagnosis for acute febrile respiratory illness in children in the Emergency Department,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006452,Pending,Systematic_review,level 4,individual page on a site,"Doan Q, Enarson P, Kissoon N, Klassen TP, Johnson DW.",Cochrane,,"Respiratory Tract Infections,Bacterial Infections,Virus Diseases,",ARI,acute febrile respiratory illness,bacterial infection,respiratory tract infection,virus disease,,,,,,
CD000181,Cochrane Systematic Review: Ribavirin for respiratory syncytial virus infection of the lower respiratory tract in infants and young children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD000181,Pending,Systematic_review,level 4,individual page on a site,"Ventre K, Randolph A.",Cochrane,,"Respiratory Tract Infections,",ARI,respiratory syncytial virus infection,,,,,,,,,
CD007719,Cochrane Systematic Review: Routine vitamin A supplementation for the prevention of blindness due to measles infection in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD007719,Pending,Systematic_review,level 4,individual page on a site,"Bello S, Meremikwu MM, Ejemot-Nwadiaro RI, Oduwole O.",Cochrane,,"Respiratory Tract Infections,Measles,Blindness,",ARI,measles,blindness,,,,,,,,
CD006821,Cochrane Systematic Review: Saline nasal irrigation for acute upper respiratory tract infections,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006821,Pending,Systematic_review,level 4,individual page on a site,"Kassel JC, King D, Spurling GK.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Common Cold,Laryngitis,Pharyngitis,Rhinitis,Sinusitis,",ARI,acute upper respiratory tract infection,acute disease,common cold,laryngitis,pharyngitis,respiratory tract infection,rhinitis,sinusitis,,
CD001095,Cochrane Systematic Review: Short-course antibiotics for acute otitis media,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001095,Pending,Systematic_review,level 4,individual page on a site,"Kozyrskyj A, Klassen TP, Moffatt M, Harvey K.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Otitis Media,",ARI,acute otitis media,acute disease,otitis media,,,,,,,
CD005976,Cochrane Systematic Review: Short-course versus long-course antibiotic therapy for non-severe community-acquired pneumonia in children aged 2 months to 59 months,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005976,Pending,Systematic_review,level 4,individual page on a site,"Kozyrskyj A, Klassen TP, Moffatt M, Harvey K.",Cochrane,,"Respiratory Tract Infections,Community-Acquired Infections,Pneumonia,",ARI,non-severe community acquired pneumonia,community-acquired infection,pneumonia,,,,,,,
CD004872,Cochrane Systematic Review: Short-term late-generation antibiotics versus longer term penicillin for acute streptococcal pharyngitis in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004872,Pending,Systematic_review,level 4,individual page on a site,"Altamimi S, Khalil A, Khalaiwi KA, Milner RA, Pusic MV, Al Othman MA.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Pharyngitis,Streptococcal Infections,Tonsillitis,",ARI,acute streptococcal pharyngitis,acute disease,pharyngitis,streptococcal infection,tonsillitis,,,,,
CD006435,Cochrane Systematic Review: Steam inhalation or humidified oxygen for acute bronchiolitis in children up to three years of age,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006435,Pending,Systematic_review,level 4,individual page on a site,"Umoren R, Odey F, Meremikwu MM.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Bronchiolitis,",ARI,acute bronchiolitis,acute disease,bronchiolitis,,,,,,,
CD004402,Cochrane Systematic Review: Steroids for symptom control in infectious mononucleosis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004402,Pending,Systematic_review,level 4,individual page on a site,"Candy B, Hotopf M.",Cochrane,,"Respiratory Tract Infections,Infectious Mononucleosis,",ARI,infectious mononucleosis,,,,,,,,,
CD005150,Cochrane Systematic Review: Surfactant therapy for bronchiolitis in critically ill infants,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005150,Pending,Systematic_review,level 4,individual page on a site,"Ventre K, Haroon M, Davison C.",Cochrane,,"Respiratory Tract Infections,Bronchiolitis,",ARI,bronchiolitis,,,,,,,,,
CD003257,Cochrane Systematic Review: Symptomatic treatment of the cough in whooping cough,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD003257,Pending,Systematic_review,level 4,individual page on a site,"Bettiol S, Wang K, Thompson MJ, Roberts NW, Perera R, Heneghan CJ, Harnden A.",Cochrane,,"Respiratory Tract Infections,Cough,",ARI,whooping cough,cough,,,,,,,,
CD008115,Cochrane Systematic Review: Systemic corticosteroids for acute sinusitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD008115,Pending,Systematic_review,level 4,individual page on a site,"Venekamp RP, Thompson MJ, Hayward G, Heneghan CJ, Del Mar CB, Perera R, Glasziou PP, Rovers MM.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Sinusitis,",ARI,acute sinusitis,acute disease,sinusitis,,,,,,,
CD001832,Cochrane Systematic Review: Third generation cephalosporins versus conventional antibiotics for treating acute bacterial meningitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001832,Pending,Systematic_review,level 4,individual page on a site,"Prasad K, Kumar A, Gupta PK, Singhal T.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Meningitis, Bacterial,",ARI,acute bacterial meningitis,acute disease,bacterial meningitis,,,,,,,
CD005657,Cochrane Systematic Review: Topical analgesia for acute otitis media,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005657,Pending,Systematic_review,level 4,individual page on a site,"Foxlee R, Johansson A, Wejfalk J, Dawkins J, Dooley L, Del Mar C.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Otitis Media,Otitis Media with Effusion,Pain,",ARI,acute otitis media,acute disease,otitis media,otitis media with effusion,pain,,,,,
CD003700,Cochrane Systematic Review: Vitamin A for non-measles pneumonia in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD003700,Pending,Systematic_review,level 4,individual page on a site,"Ni J, Wei J, Wu T.",Cochrane,,"Respiratory Tract Infections,Measles,Pneumonia,",ARI,non-measles pneumonia,measles,pneumonia,,,,,,,
CD001479,Cochrane Systematic Review: Vitamin A for treating measles in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001479,Pending,Systematic_review,level 4,individual page on a site,"Huiming Y, Chaomin W, Meng M.",Cochrane,,"Respiratory Tract Infections,Measles,Pneumonia,",ARI,measles,pneumonia,,,,,,,,
CD005532,Cochrane Systematic Review: Vitamin C for preventing and treating pneumonia,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005532,Pending,Systematic_review,level 4,individual page on a site,"Hemil_ H, Louhiala P.",Cochrane,,"Respiratory Tract Infections,Pneumonia,Community-Acquired Infections,",ARI,pneumonia,community-acquired infection,,,,,,,,
CD000980,Cochrane Systematic Review: Vitamin C for preventing and treating the common cold,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD000980,Pending,Systematic_review,level 4,individual page on a site,"Hemil_ H, Chalker E.",Cochrane,,"Respiratory Tract Infections,Common Cold,",ARI,common cold,,,,,,,,,
CD001364,Cochrane Systematic Review: Zinc for the common cold,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001364,Pending,Systematic_review,level 4,individual page on a site,"Singh M, Das RR.",Cochrane,,"Respiratory Tract Infections,Common Cold,",ARI,common cold,,,,,,,,,
CD007368,Cochrane Systematic Review: Zinc supplementation as an adjunct to antibiotics in the treatment of pneumonia in children 2 to 59 months of age,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD007368,Pending,Systematic_review,level 4,individual page on a site,"Haider BA, Lassi ZS, Ahmed A, Bhutta ZA.",Cochrane,,"Respiratory Tract Infections,Pneumonia,",ARI,pneumonia,,,,,,,,,
CD010179,Cochrane Systematic Review: Addition of intravenous beta2-agonists to inhaled beta2-agonists for acute asthma,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD010179,pending,Systematic_review,level 4,individual page on a site,"Travers AH, Milan SJ, Jones AP, Camargo CA Jr, Rowe BH.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD008351,Cochrane Systematic Review: Airway clearance techniques for bronchiectasis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD008351,pending,Systematic_review,level 4,individual page on a site,"Lee AL, Burge A, Holland AE.",Cochrane,,"Bronchiectasis,",Airways,bronchiectasis,,,,,,,,,
CD002741,Cochrane Systematic Review: Antibiotics for acute asthma,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002741,pending,Systematic_review,level 4,individual page on a site,"Graham V, Lasserson T, Rowe BH.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD009834,Cochrane Systematic Review: Antibiotics for persistent cough or wheeze following acute bronchiolitis in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD009834,pending,Systematic_review,level 4,individual page on a site,"McCallum GB, Morris PS, Chang AB.",Cochrane,,"Cough,Acute Disease,Bronchiolitis,",Airways,acute bronchiolitis,cough,wheeze,acute disease,bronchiolitis,respiratory syncytial virus infection,,,,
CD004822,Cochrane Systematic Review: Antibiotics for prolonged moist cough in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004822,pending,Systematic_review,level 4,individual page on a site,"Marchant JM, Morris P, Gaffney JT, Chang AB.",Cochrane,,"Chronic Disease,Cough,",Airways,moist cough,chronic disease,cough,,,,,,,
CD001279,Cochrane Systematic Review: Anticholinergic drugs for wheeze in children under the age of two years,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001279,pending,Systematic_review,level 4,individual page on a site,"Everard ML, Bara A, Kurian M, Elliott TM, Ducharme F, Mayowe V.",Cochrane,,"Asthma,Respiratory Distress Syndrome, Newborn,",Airways,wheeze,asthma,respiratory distress syndrome,,,,,,,
CD003797,Cochrane Systematic Review: Anticholinergic therapy for acute asthma in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD003797,pending,Systematic_review,level 4,individual page on a site,"Teoh L, Cates CJ, Hurwitz M, Acworth JP, van Asperen P, Chang AB.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD002163,Cochrane Systematic Review: Anticholinergic therapy for bronchiectasis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002163,pending,Systematic_review,level 4,individual page on a site,"Lasserson T, Holt K, Evans D, Greenstone M.",Cochrane,,"Bronchiectasis,Acute Disease,",Airways,bronchiectasis,acute disease,,,,,,,,
CD004358,Cochrane Systematic Review: Anticholinergics for prolonged non-specific cough in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004358,pending,Systematic_review,level 4,individual page on a site,"Chang AB, McKean M, Morris P.",Cochrane,,"Cough,",Airways,non-specific cough,cough,,,,,,,,
CD005604,Cochrane Systematic Review: Anti-histamines for prolonged non-specific cough in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005604,pending,Systematic_review,level 4,individual page on a site,"Chang AB, Peake J, McElrea MS.",Cochrane,,"Cough,",Airways,non-specific cough,cough,,,,,,,,
CD007074,Cochrane Systematic Review: Anti-inflammatory medications for obstructive sleep apnea in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD007074,pending,Systematic_review,level 4,individual page on a site,"Kuhle S, Urschitz MS.",Cochrane,,"Sleep Apnea, Obstructive,",Airways,obstructive sleep apnea,,,,,,,,,
CD002314,Cochrane Systematic Review: Anti-leukotriene agents compared to inhaled corticosteroids in the management of recurrent and/or chronic asthma in adults and children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002314,pending,Systematic_review,level 4,individual page on a site,"Chauhan BF, Ducharme FM.",Cochrane,,"Asthma,",Airways,recurrent asthma,chronic asthma,asthma,,,,,,,
CD000060,Cochrane Systematic Review: Combined inhaled anticholinergics and beta2-agonists for initial treatment of acute asthma in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD000060,pending,Systematic_review,level 4,individual page on a site,"Griffiths B, Ducharme FM.",Cochrane,,"Asthma,",Airways,acute asthma,asthma,,,,,,,,
CD005536,Cochrane Systematic Review: Commercial versus home-made spacers in delivering bronchodilator therapy for acute therapy in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005536,pending,Systematic_review,level 4,individual page on a site,"Rodriguez C, Sossa M, Lozano JM.",Cochrane,,"Asthma,",Airways,,asthma,,,,,,,,
CD002886,Cochrane Systematic Review: Corticosteroids for hospitalised children with acute asthma,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002886,pending,Systematic_review,level 4,individual page on a site,"Smith M, Iqbal S, Elliott TM, Everard M, Rowe BH.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD000195,Cochrane Systematic Review: Corticosteroids for preventing relapse following acute exacerbations of asthma,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD000195,pending,Systematic_review,level 4,individual page on a site,"Rowe BH, Spooner CH, Ducharme FM, Bretzlaff JA, Bota GW.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD001283,Cochrane Systematic Review: Dietary marine fatty acids (fish oil) for asthma in adults and children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001283,pending,Systematic_review,level 4,individual page on a site,"Woods RK, Thien FC, Abramson MJ.",Cochrane,,"Asthma,",Airways,asthma,,,,,,,,,
CD002178,Cochrane Systematic Review: Early emergency department treatment of acute asthma with systemic corticosteroids,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002178,pending,Systematic_review,level 4,individual page on a site,"Rowe BH, Spooner C, Ducharme FM, Bretzlaff JA, Bota GW.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD002308,Cochrane Systematic Review: Early use of inhaled corticosteroids in the emergency department treatment of acute asthma,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002308,pending,Systematic_review,level 4,individual page on a site,"Edmonds ML, Milan SJ, Camargo CA Jr, Pollack CV, Rowe BH.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD004434,Cochrane Systematic Review: Endothelin receptor antagonists for pulmonary arterial hypertension,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004434,pending,Systematic_review,level 4,individual page on a site,"Liu C, Chen J, Gao Y, Deng B, Liu K.",Cochrane,,"Pulmonary arterial hypertension,",Airways,pulmonary arterial hypertension,pulmonary hypertention,,,,,,,,
CD008418,Cochrane Systematic Review: Formoterol versus short-acting beta-agonists as relief medication for adults and children with asthma,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD008418,pending,Systematic_review,level 4,individual page on a site,"Welsh EJ, Cates CJ.",Cochrane,,"Asthma,",Airways,asthma,,,,,,,,,
CD001496,Cochrane Systematic Review: Gastro-oesophageal reflux treatment for asthma in adults and children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001496,pending,Systematic_review,level 4,individual page on a site,"Gibson PG, Henry RL, Coughlan JL.",Cochrane,,"Asthma,Gastroesophageal Reflux,",Airways,asthma,gastro-oesophageal reflux,,,,,,,,
CD004823,Cochrane Systematic Review: Gastro-oesophageal reflux treatment for prolonged non-specific cough in children and adults,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004823,pending,Systematic_review,level 4,individual page on a site,"Chang AB, Lasserson TJ, Gaffney J, Connor FL, Garske LA.",Cochrane,,"Gastroesophageal Reflux,Chronic Disease,Cough,",Airways,non-specific cough,gastro-oesophageal reflux,chronic disease,cough,,,,,,
CD002884,Cochrane Systematic Review: Heliox for non-intubated acute asthma patients,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002884,pending,Systematic_review,level 4,individual page on a site,"Rodrigo G, Pollack C, Rodrigo C, Rowe BH.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD004109,Cochrane Systematic Review: High dose versus low dose inhaled corticosteroid as initial starting dose for asthma in adults and children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004109,pending,Systematic_review,level 4,individual page on a site,"Powell H, Gibson PG.",Cochrane,,"Asthma,",Airways,asthma,,,,,,,,,
CD000052,Cochrane Systematic Review: Holding chambers (spacers) versus nebulisers for beta-agonist treatment of acute asthma,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD000052,pending,Systematic_review,level 4,individual page on a site,"Cates CJ, Welsh EJ, Rowe BH.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD007523,Cochrane Systematic Review: Honey and lozenges for children with non-specific cough,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD007523,pending,Systematic_review,level 4,individual page on a site,"Mulholland S, Chang AB.",Cochrane,,"Chronic Disease,Cough,",Airways,non-specific cough,chronic disease,cough,,,,,,,
CD005075,Cochrane Systematic Review: Indoor air modification interventions for prolonged non-specific cough in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005075,pending,Systematic_review,level 4,individual page on a site,"Donnelly D, Everard MM, Chang AB.",Cochrane,,"Cough,",Airways,non-specific cough,cough,,,,,,,,
CD006218,Cochrane Systematic Review: Influenza vaccine for children and adults with bronchiectasis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006218,pending,Systematic_review,level 4,individual page on a site,"Chang CC, Morris PS, Chang AB.",Cochrane,,"Bronchiectasis,Influenza, Human,",Airways,bronchiectasis,influenza,,,,,,,,
CD005373,Cochrane Systematic Review: Inhaled beta2-agonists for non-specific chronic cough in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005373,pending,Systematic_review,level 4,individual page on a site,"Tomerak AA, Vyas H, Lakenpaul M, McGlashan JJ, McKean M.",Cochrane,,"Chronic Disease,Cough,",Airways,non-specific chronic cough,chronic disease,cough,,,,,,,
CD002739,Cochrane Systematic Review: Inhaled corticosteroids compared to placebo for prevention of exercise induced bronchoconstriction,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002739,pending,Systematic_review,level 4,individual page on a site,"Koh MS, Tee A, Lasserson TJ, Irving LB.",Cochrane,,"Bronchoconstriction,Asthma, Exercise-Induced,",Airways,exercise induced bronchoconstriction,bronchoconstriction,exercise induced asthma,,,,,,,
CD008888,Cochrane Systematic Review: Inhaled corticosteroids for subacute cough in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD008888,pending,Systematic_review,level 4,individual page on a site,"Anderson-James S, Marchant JM, Acworth JP, Turner C, Chang AB.",Cochrane,,"Acute Disease,Cough,",Airways,subacute cough,acute disease,cough,,,,,,,
CD003558,Cochrane Systematic Review: Inhaled corticosteroids versus sodium cromoglycate in children and adults with asthma,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD003558,pending,Systematic_review,level 4,individual page on a site,"Guevara JP, Ducharme FM, Keren R, Nihtianova S, Zorc J.",Cochrane,,"Asthma,",Airways,asthma,,,,,,,,,
CD004436,Cochrane Systematic Review: Inhaled cromones for prolonged non-specific cough in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004436,pending,Systematic_review,level 4,individual page on a site,"Chang A, Marchant JM, McKean M, Morris P.",Cochrane,,"Cough,",Airways,non-specific cough,cough,,,,,,,,
CD003898,Cochrane Systematic Review: Inhaled magnesium sulfate in the treatment of acute asthma,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD003898,pending,Systematic_review,level 4,individual page on a site,"Powell C, Dwan K, Milan SJ, Beasley R, Hughes R, Knopp-Sihota JA, Rowe BH.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD007525,Cochrane Systematic Review: Inhaled non-steroid anti-inflammatories for children and adults with bronchiectasis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD007525,pending,Systematic_review,level 4,individual page on a site,"Pizzutto SJ, Upham JW, Yerkovich ST, Chang AB.",Cochrane,,"Bronchiectasis,Dyspnea,",Airways,bronchiectasis,dyspnea,,,,,,,,
CD002173,Cochrane Systematic Review: Inhaled sodium cromoglycate for asthma in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002173,pending,Systematic_review,level 4,individual page on a site,"van der Wouden JC, Uijen JH, Bernsen RM, Tasche MJ, de Jongste JC, Ducharme F.",Cochrane,,"Asthma,",Airways,asthma,,,,,,,,,
CD002316,Cochrane Systematic Review: Inhaled steroids for acute asthma following emergency department discharge,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002316,pending,Systematic_review,level 4,individual page on a site,"Edmonds ML, Milan SJ, Brenner BE, Camargo CA Jr, Rowe BH.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD000996,Cochrane Systematic Review: Inhaled steroids for bronchiectasis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD000996,pending,Systematic_review,level 4,individual page on a site,"Kapur N, Bell S, Kolbe J, Chang AB.",Cochrane,,"Bronchiectasis,",Airways,bronchiectasis,,,,,,,,,
CD001107,Cochrane Systematic Review: Inhaled steroids for episodic viral wheeze of childhood,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001107,pending,Systematic_review,level 4,individual page on a site,"McKean M, Ducharme F.",Cochrane,,"Asthma,Virus Diseases,",Airways,episodic viral wheeze,asthma,respiratory tract infection,virus disease,,,,,,
CD001290,Cochrane Systematic Review: Interventions for educating children who are at risk of asthma-related emergency department attendance,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001290,pending,Systematic_review,level 4,individual page on a site,"Boyd M, Lasserson TJ, McKean MC, Gibson PG, Ducharme FM, Haby M.",Cochrane,,"Asthma,",Airways,asthma,,,,,,,,,
CD003570,Cochrane Systematic Review: Intranasal corticosteroids for asthma control in people with coexisting asthma and rhinitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD003570,pending,Systematic_review,level 4,individual page on a site,"Taramarcaz P, Gibson PG.",Cochrane,,"Asthma,Rhinitis,",Airways,asthma,rhinitis,,,,,,,,
CD001276,Cochrane Systematic Review: Intravenous aminophylline for acute severe asthma in children over two years receiving inhaled bronchodilators,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001276,pending,Systematic_review,level 4,individual page on a site,"Mitra A, Bassler D, Goodman K, Lasserson TJ, Ducharme FM.",Cochrane,,"Acute Disease,",Airways,acute severe asthma,acute disease,,,,,,,,
CD002988,Cochrane Systematic Review: Intravenous beta2-agonists for acute asthma in the emergency department,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002988,pending,Systematic_review,level 4,individual page on a site,"Travers A, Jones AP, Kelly K, Barker SJ, Camargo CA, Rowe BH.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD010256,Cochrane Systematic Review: Intravenous beta2-agonists versus intravenous aminophylline for acute asthma,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD010256,pending,Systematic_review,level 4,individual page on a site,"Travers AH, Jones AP, Camargo CA Jr, Milan SJ, Rowe BH.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD009293,Cochrane Systematic Review: Ketamine for management of acute exacerbations of asthma in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD009293,pending,Systematic_review,level 4,individual page on a site,"Jat KR, Chawla D.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD001384,Cochrane Systematic Review: Ketotifen alone or as additional medication for long-term control of asthma and wheeze in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001384,pending,Systematic_review,level 4,individual page on a site,"Schwarzer G, Bassler D, Mitra A, Ducharme FM, Forster J.",Cochrane,,"Asthma,",Airways,asthma,wheeze,,,,,,,,
CD006100,Cochrane Systematic Review: Leukotriene receptor antagonists in addition to usual care for acute asthma in adults and children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006100,pending,Systematic_review,level 4,individual page on a site,"Watts K, Chavasse RJ.",Cochrane,,"Acute Disease,",Airways,acute asthma,acute disease,,,,,,,,
CD002155,Cochrane Systematic Review: Long-acting beta2-agonists for bronchiectasis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002155,pending,Systematic_review,level 4,individual page on a site,"Sheikh A, Nolan D, Greenstone M.",Cochrane,,"Bronchiectasis,",Airways,bronchiectasis,,,,,,,,,
CD001490,Cochrane Systematic Review: Magnesium sulfate for treating exacerbations of acute asthma in the emergency department,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001490,pending,Systematic_review,level 4,individual page on a site,"Rowe BH, Bretzlaff JA, Bourdon C, Bota GW, Camargo CA Jr.",Cochrane,,"Acute Disease,Asthma,",Airways,acute asthma,acute disease,asthma,,,,,,,
CD005310,Cochrane Systematic Review: Methylxanthines for prolonged non-specific cough in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005310,pending,Systematic_review,level 4,individual page on a site,"Chang AB, Halstead RA, Petsky HL.",Cochrane,,"Cough,",Airways,non-specific cough,cough,,,,,,,,
CD002162,Cochrane Systematic Review: Oral corticosteroids for bronchiectasis (stable and acute exacerbations),http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002162,pending,Systematic_review,level 4,individual page on a site,"Lasserson T, Holt K, Greenstone M.",Cochrane,,"Bronchiectasis,Acute Disease,Bronchiectasis,",Airways,bronchiectasis,stable bronchiectasis,acute bronchiectasis,acute disease,bronchiectasis,,,,,
CD006427,Cochrane Systematic Review: Oral non steroid anti-inflammatories for children and adults with bronchiectasis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006427,pending,Systematic_review,level 4,individual page on a site,"Kapur N, Chang AB.",Cochrane,,"Bronchiectasis,",Airways,bronchiectasis,,,,,,,,,
CD005311,Cochrane Systematic Review: Parent-initiated oral corticosteroid therapy for intermittent wheezing illnesses in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005311,pending,Systematic_review,level 4,individual page on a site,"Vuillermin P, South M, Robertson C.",Cochrane,,"Asthma,",Airways,intermittent wheezing illness,asthma,,,,,,,,
CD010005,Cochrane Systematic Review: Safety of regular formoterol or salmeterol in children with asthma: an overview of Cochrane reviews,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD010005,pending,Systematic_review,level 4,individual page on a site,"Cates CJ, Oleszczuk M, Stovold E, Wieland LS.",Cochrane,,"Asthma,",Airways,asthma,,,,,,,,,
CD003538,Cochrane Systematic Review: Selenium supplementation for asthma,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD003538,pending,Systematic_review,level 4,individual page on a site,"Allam MF, Lucane RA.",Cochrane,,"Asthma,Chronic Disease,",Airways,asthma,chronic disease,,,,,,,,
